menuenter_title,{loaderName} がインストールされました！
gui_img2fgc_credits,Img2fgcは Twitter:@repinek840 によって作成されました。
request_error_2,"保存されましたが…"
request_error_save_config_2,"あなたが入手したことのないコスチュームを装備した場合、ゲームを再起動するとコスチュームはリセットされます。この時、ロビーに他の人がいる場合はそのコスチュームを他の人が見ることができます。再起動しない限りはどのラウンドをロードしてもコスチュームは保存されます。"
gui_save_into_config,設定を保存
gui_rotate_speed,回転速度
gui_move_down_speed,下に動く速度
gui_move_up_speed,上に動く速度
gui_move_speed,前に動く速度
gui_ffm_settings,飛行モード設定
gui_ffm_hotkeys,"{0} で上に動き、 {1} で下に動き、 {2} で前に動くことができます。"
gui_media_load,ロード
gui_img_loader,画像ローダー
gui_fc_settings,フリーカメラ設定
gui_zoom_speed,ズーム速度
gui_sensivity,感度
gui_stats,統計
gui_fc_pos,位置
gui_fov,視野
gui_fc_hotkeys,"{0} で終了、 {1} で一時停止、 ホイールスクロールでズーム、 {2} で上に移動、 {3} で下に移動"
gui_near_fg,FallGuyの近く
gui_follow_fg_pos,FGの位置を貼り付け
gui_destroy_all,全削除
confirm_title,大丈夫？
confirm_desc,本当にこれを実行していいですか？:
failed_title,エラー
failed_desc,この操作でエラーが発生しました。\nエラー: {0}
gui_as_cube,立方体として
gui_url_load,画像URLから
gui_run_qual,Qualified!
gui_run_resetmsg,{0} を {1}秒押し続けるとリスタートします！
spqual_title,Qualified!
spqual_desc,現在の記録をベストタイムとして保存していいですか？ベストタイムよりはやいことを確認しでください。
spqual_desc2,ベストタイム: {0} | 現在のタイム: {1}
gui_best_time,ベストタイム
gui_run_elim,Eliminated!
gui_run_win,Win!
gui_run_info,現在のタイム
gui_fc_pause,一時停止
gui_reset_run,リセット
spqual_title2,もう1回プレイする？
spqual_desc3,もう1度このラウンドをプレイしてみる？
gui_vid_loader,動画ローダー
gui_discord_btn,Discordサーバー
load_ugc,残念ながら、このラウンドは読み込めません。 {loaderName} は現時点ではFGCラウンドの読み込みをサポートしていません。\n通常のFallGuysを実行し、 {0} を使用することで
null_secene,このラウンドにはゲームを開始するための十分な情報が含まれていません！
unable_to_find_round,ID: «{0}» のラウンドが見つかりませんでした。
unable_to_find_path,そのパスのファイルは見つかりませんでした。
gui_options,ツール
gui_wait,待って...
gui_open_config,Configファイルを開く
gui_basic_o,ベーシックツール
gui_gp_o,ゲームプレイツール
gui_round_loading,ラウンドロード中
gui_round_intro,イントロプレイ中
gui_hotkeys_gp,"ゲームプレイホットキー: {0} :飛行モードの切替、 {1} :リスポーン、 {2} :チェックポイント、 {3} :フリーカメラの切替、 {4} :チェックポイントを初期位置にリセット"
gui_hotkeys_ui,"UIホットキー: {0} :カーソルの表示切替、 {1} :UIの表示切替、 {2} :img2fgcUIの表示切替、 {3} 画像UIの表示切替"
unable_to_load_img,エラーにより画像を読み込めません:
unable_to_spawn,Fall Guyがスポーンできません
unable_to_find_show,ショー: «{0}» を見つけることができません。
intro_skip_msg, {0} を {1}秒押し続けるとイントロをスキップできます！
revert_changes,変更を戻す
dropdown_placeholder,どれかを選択...
inputfield_placeholder,どれかを打つ...
gui_loader,メインローダー
gui_edit_config_title,設定変更
gui_media_tools_title,画像ツール
in_development,開発中！また今度チェック
gui_search_round,名前(またはシーン名)でラウンドを検索...
gui_search_show,ショー名を検索...
gui_show_image,ショーアイコンを閲覧
gui_desc,説明:
gui_total_rounds,リストの合計ラウンド数
gui_total_ids,リストの合計ID数
gui_selected_show,選択されたショー
gui_loaded_show,ロードされたショー
gui_possible_show_rounds,利用可能ラウンド
gui_open_fgdb,FGDBで見る
gui_config_about,"このページでは基本的な設定を行うことができます。"
gui_config_about_0,"- 設定を更新 - シーンを再読込し、すべての設定を更新します。"
gui_config_about_1,"- GUI情報の更新 - ショーやラウンド名等の情報をリセットします。ゲームの言語を変更した場合に使用してください。"
gui_config_about_2,"- Configファイルを開く - これを使用する必要はないはず..."
gui_config_about_3,"現時点ではこれが全てです。"
gui_credits,クレジット
gui_refresh_config,設定を更新
gui_refresh_gui,GUI情報の更新
gui_img2fgc_tab,IMG2FGC
gui_rl_advenced,上級モード
gui_rl_a_inputholder,CMSラウンドIDを入力... (例: round_door_dash )
gui_rl_desc,"これはラウンドローダーです。時間制限はなく、動作する限りはどのバリエーションでもどのラウンドでもプレイできます。"
gui_rla_desc,"これは上級版ラウンドローダーです、FGT v1.3.0以前で使用されていたラウンドローダーと同じように動作します。"
gui_img2fgc_desc,img2fgcは、任意の画像をクリエイティブレベルに変換できるツールです。 画像のサイズ、幅と高さが大きすぎると、レベルが保存できなくなり、 <b>パフォーマンスが低下する恐れがあります！</b>
img2fgc_uhh,先にマップを生成してください！
gui_config_about_4,- イベントをリセット - 完了した全てのイベントをリセットします。（メインメニューのポップアップなど）
gui_clear_evt,イベントをリセット
preset_holder,プリセット名...
newpreset_title,新しいプリセットを作成
newpreset_desc,"・コスチュームプリセットにより、コスチュームの変更を簡単にすることができます。\n・コスチュームプリセットは、""すべてのコスチュームを追加""を使用したコスチュームに対応しています。\n・ゲーム中でもプリセットを使用するとコスチュームを変更できます。\n\nコスチュームプリセットは、""Presets""フォルダにあります。"
gui_presets,プリセット
gui_presets_title,"コスチュームプリセット"
gui_preset_delete_act,"プリセット: ""{0}""は削除されているので、\nコスチュームセットを復元することはできません。"
gui_del_videos_act,シーンから全ての動画を削除
gui_del_images_act,シーンから全ての画像を削除
gui_delete_preset,プリセットを削除
gui_use_preset,プリセットを使用
gui_presets_desc,"コスチュームプリセットを使用すれば、簡単にコスチュームを切り替えられます。 ゲーム内でも変更可能！ ""プリセット作成"" ボタンを押して、プリセットを作成してみよう！"
gui_default_load,何をやろうとしているんだ...？
gui_new_preset,プリセット作成
gui_rl_block,"ラウンドローダーは現在使用できません。現在のラウンドが開始するまで待つか、再試行してください！"
gui_error_msg,"このエラーについて、 {loaderName} discord サーバーでエラー内容を報告し、  {0}を押して得られるデバッグ情報を送っていただけるとありがたいです。"
gui_fix_obstacles_error,"エラーにより、一部の障害物を修正できませんでした。:"
gui_error_0,あなたはまだプレイすることができます
gui_error_1,メニューに戻る
gui_cancel_loading,ロードをキャンセルし、メニューに戻る
fgt_eac_error,"MODを使用してFallGuysをプレイしてる間は、オンラインでプレイすることはできません！オンラインでプレイしたい場合は、BepInExをアンインストールし、ゲームファイルの検証を行いEACを復元する必要があります。"
gui_del_list,"既存のラウンドリストを削除"
offline_log_title, あなたは オフラインのようです
offline_log_desc,オフラインモードを有効にして、 {loaderName} をインターネットに接続せずに使えるようにしますか？このモードを無効化するまで、全てのオンライン機能は無効になります。
online_log_title,あなたは 現在オンラインのようです
online_log_desc,"しかし、オフラインモードは有効化されたままです。この機能を無効にして、オンライン機能を使用できるようにしますか？"
cmsload_failed,エラーによりラウンドのロードを開始できません
sp_qual_disabled_title,大丈夫？
sp_qual_disabled_desc,"ラウンドのクリアを無効にしたいようですが、これはスピードランを完走できないことを意味します。これを有効にしますか？"
gui_error_2,ゲームが終了します
gui_pizzatowerreference,ラップ
gui_found_results,見つかったラウンド数
gui_preset_color,カラー
gui_preset_pattern,パターン
gui_preset_upper,上半身
gui_preset_bottom,下半身
gui_preset_full,全身
gui_preset_faceplate,フェイスプレート
gui_preset_win_anim,勝利モーション
gui_preset_nickname,ニックネーム
gui_preset_nameplate,ネームプレート
gui_preset_emotes,エモート
gui_preset_info,プリセット情報
gui_restart_title,再起動が必要です
gui_restart_desc,"変更を完全に適用させるには、ゲームを再起動する必要があります。再起動しますか？"
gui_reload_title,シーンの再読込が必要です
gui_reload_desc,"変更を適用させるには、ラウンドを再読込する必要があります。再読込しますか？"
gui_unable_get_name,名前が取得できません
old_fgtools_title,HEY
old_fgtools_desc,"古いバージョンのFGToolsがインストールされているようです。このポップアップでOKを押すと、プラグインのディレクトリが開きます。そこにある""FallGuysTools""というフォルダを削除し、再度ゲームを起動してください。"
gui_move_team,チームを変更
speedrunneralert_title,スピードランナーのあなたへ！
speedrunneralert_desc,"あなたは、{0} を長くプレイしすぎていると思います。少し休憩して、芝生でも触りに行ってみたらどうでしょう？\n\nこのポップアップはもう表示されないのでご安心を、スピードランを楽しんで！"
speedrunneralert_cancel,"スピードランを続ける"
speedrunneralert_accept,"その通りだ"
gui_speedrunner_popup_alert,すぐに何かが起こる…
gui_speedrunner_popup_alert_1,スピードランに集中しすぎないように気をつけて
disabledsetting_title,いくつかの設定が無効化されていました！
disabledsetting_desc,"以下の設定: {0} がこのラウンドで無効化またはデフォルト値に変更されました。"
msg_tip,"TIP"
msg_tip_ffm,"{1} を押すことで、速度の編集が可能になります。"
msg_tip_fc,"移動はWASD、回転はマウスでできます。スクロールホイールを使ってズーム、 {0} を押してカメラを一時停止することもできます。\n\n {1}で設定を編集可能！"
msg_outdated_ver_title,"最新バージョンではありません！"
msg_outdated_ver,"このバージョンは昔のバージョンのようです。\n最新バージョン({0}) は {loaderName} Discordサーバーからダウンロードできます。\n現在のバージョンでもプレイ可能ですが、バグ修正等を含んでいるためアップデートをおすすめします。"
msg_old_spc_possible,"設定でシーン全体の再読込を有効化できます。"
changelog_for,"変更履歴"
changelog_limit,"...そして {0} のさらなる変更があります... - Discordサーバーで完全な変更履歴を確認できます！"
changelog_title,変更履歴
cgm_error,"ゲームマネージャーの作成中にエラーが発生しました。"
debug_msg,バグ報告をする際にこの情報を使用する
debug_title,デバッグ情報
fgc_length,"ラウンドキーの長さは14文字でなければなりません。しかし"
fgc_error,"ラウンドのロード準備中にエラーが発生しました。"
fgc_missing,"おそらくこのラウンドは存在していません。"
fgc_missing_template,"このラウンドのテンプレートが見つかりません。"
gui_error_3,"メニューにとどまる"
gui_creative_loader,クリエイティブラウンド(ベータ版)
gui_creative_loader_desc,"これはクリエイティブラウンドローダーです。ラウンドをプレイするには、上記のテキストフィールドに共有コードを入力してください。"
code_input_holder,ラウンドコードを入力 (例:0000-0000-0000)
gui_unity_loader,Unityラウンド
fgc_level_inf,レベルに関する情報
fgc_level_name,タイトル
fgc_level_desc,説明
fgc_level_gamemode,ゲームモード
fgc_level_author,制作者:
fgc_level_ver,バージョン
fgc_level_likes,高評価
fgc_level_pc,プレイ回数
fgc_level_maxp,最大プレイヤー
fgc_level_qp,クリア率
fgc_level_timel,制限時間
fgc_level_platform,作成機種:
fgc_level_tags,タグ
fgc_level_utags,ユーザーのタグ
fgc_level_muz,音楽
fgc_level_load,情報の取得...
fgc_level_extra,その他の情報
fgc_level_theme,テーマ
fgc_level_compstat,クリアチェック
fgc_level_sp,サバイバル通過率
gui_yes,Yes
gui_no,No
fgc_level_nodto,LevelInfoDto が見つかりませんでした。
fgt_tooltip_01, {introSkipHK} を押し続けるとイントロをスキップできます。
fgt_tooltip_02,"設定で ""全てのコスチュームを追加"" を有効化すると、ゲーム内に存在する全てのコスチュームを追加することができます！"
fgt_tooltip_03," {0} を押すことで {loaderName} GUIを表示/非表示させることができます。"
fgt_tooltip_04,"もしなにか質問があれば、{loaderName} Discordサーバーまでお気軽にどうぞ！"
fgt_tooltip_05,"設定でカスタム制限時間を有効化することができます！"
fgt_tooltip_06,"設定でラウンドからQualificationを無効化できます！"
fgt_tooltip_07,"楽しい事実：このゲームでは、何かをスピードランニングする代わりに、ちょっとした草を触ることができます！"
fgt_tooltip_08,"設定でパワーアップを変更したり、無効化したりできます！"
fgt_tooltip_09,"Fall Guysをオフラインでプレイしたいですか？設定でオフラインモードを有効化できます！"
unable_to_load_scene,シーンをロードできません
unable_to_load_scene_01,"このラウンドで使用されているシーンは現在ゲームファイルから削除されているようです。"
unable_to_load_scene_02,"前のラウンドをプレイ"
unable_to_load_scene_03,"再び読み込む"
no_changelog_get,"このバージョンの変更履歴を入手できませんでした。"
fgt_tooltip_10,"Fall Foreverアップデート以前の古い（低ジャンプ力）キャラクター物理をプレイしたいなら、設定で有効化できます！"
fgt_tooltip_11," {loaderName} を使わずに3日が過ぎた。 しんどくて死んでしまいたい気分だ。 新しいアップデートの後、 {loaderName} をプレイしようとしたが、うまくいかなかった。 私は今、おそらく最悪の状態だろう。 新しいアップデートはひどいし、プレイするものがない。 別れを告げるのは良いことだと思う。 私はこれで終わりにしようと思っている。 {loaderName} は私の人生であり、 {loaderName} は私の一番の親友だった。 草には触らないから、{loaderName} が今のところ私の最後の希望なんだけど、悲しいことに上手く行かないんだ。 真剣に精神的な助けが必要なんだ。"
userchange_title,"ユーザー名を選択"
userchange_desc,"ゲームがオフラインで起動したので、ユーザー名が設定されていません。入力するか、デフォルトのユーザー名を使用してください。選択したユーザー名は、設定でいつでも変更可能です！"
userchange_holder,"OfflineGuy"
gui_toggle,切替
gui_save,セーブ
gui_variant_lastsave,最後のセーブに切り替える
gui_variant_toggleall,全て切替
gui_variant_title,バリエーションオプション
gui_ingame_only_ui,ゲーム内オプション
gui_ingame_tab,ゲームプレイ設定
rpc_fgc_alert_title,始める前に…
rpc_fgc_alert_desc,"{loaderName}にDiscordRPCの機能があるので、編集中のいくつかの情報がDiscordのステータス（アクティビティ）に表示され、他の人が見れる状態になっていることを知っておく必要があります。（エディタの状態、コース/サバイバル、レベル名等） 大丈夫な場合は、 ""OK"" を押して楽しんでください。もしそれが嫌なら、 {loaderName} 設定を開いて、Discord RPCを無効化してください。\n\n このポップアップは二度と表示されません。"
gui_handle_random_cosmetics,ランダムコスチューム
gui_handle_default_cosmetics,元のコスチュームに戻す
gui_attempt,試み
gui_warning,警告
discordsdk_missing_desc,"Discord Game Sdkが見つかりません。Discord Game SdkはDiscord RPCの動作に必須です。今のところDiscord RPCは無効化されています。これを復活させるためには、discord_game_sdk.dll を {loaderName} フォルダに入れるか、{loaderName} Discordサーバーで助けを求めてください。"
gui_default,デフォルト
gui_misc,その他
themes_selector_title,メニューテーマセレクター
statistics_title,あなたの {loaderName} ステータス
theme_restart_title,再起動が必要です
theme_restart_desc,"デフォルトのテーマに戻すには、ゲームを再起動する必要があります。再起動しますか？"
stat_time_in_game,合計ゲーム時間
stat_total_rounds,合計ラウンド数
gui_delete_stats,統計情報をリセット
stat_launch_times,ゲームセッション
stat_sp_att_total,スピードランモードでの合計試行回数
stat_time_inmenu,メニュー内時間
gui_unavailable,使用不可
theme_selector_not_in_menu,テーマを変更するには、メインメニューにいる必要があります。
stats_del_title,本当に良い？
stats_del_desc,"本当に全ての統計情報をリセットしたいのですか？この操作をもとに戻すことはできません！"
theme_change_title,テーマを変更する？
theme_change_desc,"テーマを変更しますか？"
gui_open_rhistory,ラウンド履歴を表示
gui_close_rhistory,ラウンド履歴を閉じる
gui_nothing2see,ここにはまだ何も無い
gui_save_stats,統計情報の保存
gui_stats_info_01,- 統計はゲームを終了するたびに保存され、5分ごとに自動的に保存されます。
gui_result,結果
stats_result_leave,やめる
stats_result_new,新ラウンド
round_length,ラウンドの長さ
stats_total_time_fgc,FGCにいた合計時間
gui_stats_info_02,- {loaderName} をプレイしているときのみ統計情報を取得します。
stats_collectables_collected,アイテム取得個数
stats_powerup_uses,パワーアップ使用回数
gui_stats_info_03,- デバイスに保存された統計
stats_save_time_remain,オートセーブまでの時間
gui_date,日付
gui_force_reset,強制リセット
force_reset_desc,"これをするとFGToolsの状態を完全デフォルトにリセットすることができます。ソフトロックしていたり、なにか問題がある時に使用してください。 <b>これを実行すると、何をしていてもメニューに戻されます。FGCreativeにいる場合は、進行状況が失われますので注意！</b>"
fgt_tooltip_12,"Господи Стентрик, Спидранер Божий, моля Те с кувшя и смирение, чуй молбата ми за радост и забавление в моменти на отдих. Помогни на създателите на играта FGStoola да върнат игрите с 360 дивами, както и мудьтиплеер играти, които толкова много радваха сърцата ни. ФлоузЛ!"
gui_flzru_img,Funny Image
gui_deleted_rounds,削除済みラウンド数
gui_deleted_rounds_desc,*ラウンド名が灰色の場合は、そのラウンドがゲームファイルに存在していないことを意味します！
gui_imgloader_desc,"これは画像ローダーで、URL経由で画像を読み込んだり、デバイスに保存されている画像を読み込んだりできます。"
gui_imgloader_desc_01,"デバイスに保存されている画像を読み込むには、読み込みたい画像をフォルダーに入れ、入力フィールドに画像名を入力してください。"
gui_imgloader_desc_02,"URL経由で画像を読み込むには、""画像URLから"" にチェックを入れ、画像URLを入力フィールドに入力してください。（例: https://example.com/example.png/ ）"
gui_fgc_hex,カスタムカラー
gui_fgc_hex_set,設定
gui_fgc_hex_preview,プレビュー
gui_fgc_hex_title,カスタムオブジェクトカラー
gui_fgc_hex_fgc,ゲームカラー
gui_fgc_autosave_in,レベル自動保存
version_warning_title,"バージョン確認"
version_warning,"あなたのFallGuysは対応バージョンではありません。 <b>これはおそらく、{loaderName}が動作しなくなることを意味します。</b>\n\n {loaderName} Discordサーバーにアップデートが来ていないか確認し、あればインストールしてください！ アップデートが来ていないかつ {loaderName} が動作しない場合は、更新されるまでお待ち下さい。オフライン版もあります。"
gui_themes_stat_0,デバイスに保存済みのテーマ
gui_themes_stat_1,カタログに存在するテーマ
gui_author,制作者
gui_unknown,不明
gui_download,ダウンロード
gui_theme2download,テーマをダウンロード
gui_theme2download_url,ソース
gui_theme2download_size,DLサイズ
gui_view_themes_catalogue,テーマカタログを見る
gui_viewing,視聴
gui_web_themes,テーマカタログ
gui_local_themes,テーマをDL済み
msg_outdated_ver_short,"このバージョンは古いようです！最新のもの（{0}）は{loaderName} discordサーバーですでにダウンロードできます！"
gui_catalogue_theme_info_0,"オンラインテーマカタログにようこそ！"
gui_catalogue_theme_info_1," {loaderName} の容量が増加しすぎないように、この形式で製作しました(テーマファイルの容量が大きいため)"
gui_catalogue_theme_info_2,"- テーマを選択すると、そのテーマに関する情報が表示されます。"
gui_catalogue_theme_info_3,"- テーマをダウンロードするには、""ダウンロード""ボタンを押してください。"
gui_catalogue_theme_exists," {0} テーマのフォルダがすでに存在します。再DLする必要がある場合は""デバイスに保存済みのテーマ""から削除してください。"
gui_theme_download_complete_0,"テーマ {0} のダウンロードが完了しました！"
gui_theme_download_complete_1,"ダウンロードしたテーマで選択できるようになりました。"
gui_memes,Мемы😂🤣
gui_download_start_title,ダウンロード開始
gui_download_end_title,ダウンロード終了
gui_theme_download_start_info,"テーマ {0} のダウンロードを開始"
gui_theme_download_end_info,"テーマ {0} のダウンロードを完了"
gui_search,検索
gui_disable_nav,ナビゲーションを無効化
gui_play_explore,自由探索 - クリエイティブ
gui_fgc_explore_0,自由探索の総ラウンドプレイ回数
gui_fgc_explore_1,FGAnalyst APIからの自由探索ラウンド取得(cloudseeker.xyz/fga/)
gui_cosmetics_search,コスチュームを検索
stats_qual_times,合計クリア
stats_elim_times,合計脱落
stats_win_times,合計勝利
gui_creative_loader_warning,"注意:一部の障害物やゲームモードは想定通りに動作しない場合があります。"
gui_cosmetics_search_for,検索:
gui_total_found_items,"合計発見アイテム"
gui_сosmetics_search_nothing,"コスチュームが見つかりませんでした"
gui_cosmetics_search_err,"検索エラー"
gui_cosmetics_search_reset,リセット
gui_begin_search,"何かを検索"
gui_cosmetics_search_live_search,ライブ検索
explore_start_title,自由探索を始める？
explore_start_desc,これでランダムな探索ラウンドを開始できます！
critical_error_title,クリティカルエラー
critical_error_desc,"{loaderName}で重大なエラーが発生しました。ゲームを終了し、BepInExのログをdiscordサーバーに送ってください。"
gui_localization,言語
gui_localization_act0,CHANGE LANGUAGE?
gui_localization_act1,本当に言語を変更してよろしいですか？
gui_localization_act2,言語を変更する場合は、メインメニューにいる必要があります
gui_localization_author,この翻訳を作成したのは
gui_download_progress_lang,ローカライズの取得
gui_download_progress_def, {loaderName} の情報を取得中
gui_download_progress_themes,テーマを取得中
gui_download_progress_explore,自由探索ラウンドを取得中
gui_download_progress_explore_waiting,自由探索ラウンドの取得中。FGAnalystの返答を待機してください
gui_downloading_title,少し時間をください
gui_downloading_desc,"より安定した動作のために、{loaderName}はインターネットから追加情報を取得する必要があります。少々お待ちください。"
gui_explore_error_title,"ラウンドが存在しません"
gui_explore_error_desc,"自由探索ラウンドはロードされていません。少し後に再試行してみてください"
gui_fgc_placeholder,"レベルの共有コードを入力すると、そのコードに関する情報が表示されます！"
gui_fgc_not_found,"この共有コードを持つレベルが見つかりません。正しく入力したことを確認して、もう一度試してください。"
gui_debug_saved_in, {loaderName} フォルダに保存
gui_debug_hide,{0} で隠す
gui_debug_new_report,バグレポート作成
gui_debug_new_report_desc,"これは {loaderName} フォルダにすべての有用な情報を含むレポートを作成します。"
gui_debug_new_report_success,"バグレポートは {loaderName} フォルダに保存されました。"
gui_debug_new_report_fail,"バグレポートを作成できませんでした"
gui_debug_report_folder,レポートフォルダ
gui_themes_catalogue_empty,空欄カタログ
gui_select,選択
gui_catalogue_theme_exists_new,このテーマのフォルダはすでに存在します。削除されます！
gui_theme_download_progress,テーマ{selectedTheme}をダウンロード中。少し待って
gui_complete,Complete
gui_theme_download_error,テーマがダウンロードできません
gui_theme_download_error_0,このようなことが起こる一般的な理由
gui_theme_download_error_1,- インターネット接続に問題が発生している
gui_theme_download_error_2,- テーマファイルがサーバーから削除された
gui_theme_download_error_3,- テーマファイルのあるサーバーがダウンしている可能性がある
gui_theme_download_error_4,- あなたのPCが爆発するまであとすこし
gui_error_we_got,エラーを取得
gui_theme_selected_error,"このテーマはすでに選択されているためダウンロードできません。他のテーマを選択してから再試行してください"
gui_round_options,ラウンドルール
gui_round_options_pcount,プレイヤーカウント
gui_round_options_pcount_desc,リングのノロイのような人数によって仕様が変わるラウンドに便利です
gui_round_options_timer,タイマーを有効化する？
gui_round_options_timer_limit,ラウンドの長さ
gui_minutes,分
gui_seconds,秒
gui_round_options_seed,ラウンドシード
gui_round_options_seed_desc,空白または0の場合は、ランダムなシードが選択されます
gui_save_apply,保存 & 適用
gui_round_options_hardmode,ハードモード
gui_round_options_timer_limit_desc,時間が設定されていない場合は、デフォルトのラウンド時間が使用されます。
gui_debug_as_zip,ZIPファイルで作成
newsfeed_beta_private_title, {loaderName} クローズドベータ版へようこそ
newsfeed_beta_private_desc,"ここで何をすべきかはもうわかっているはず！"
gui_up_prompt,あなたは自由探索でプレイしています。ラウンドを選択するには、メインメニューに進みます。
gui_debug_press_again,もう一度 {debugUiHK} を押すとデバッグ情報を表示します
gui_theme_dir,テーマディレクトリ
gui_theme_del,テーマを削除
gui_theme_delete_title,テーマ {selectedTheme} を削除しますか？
gui_theme_delete_desc,本当にいいですか？
gui_play_explore_unity,自由探索 - Unity
gui_play_explore_endless,自由探索 - エンドレス
gui_explore_endless_title,自由探索エンドレスとは？
gui_explore_endless_desc,自由探索 - エンドレス は、Unityと自由探索ラウンドをミックスしたものです。50%の確率でUnityか自由探索のラウンドが取得されます。
gui_explore_desc_base,  {loaderName} の自由探索はどのように機能するか？\n- MODなしの自由探索のようにラウンドをスキップできる\n- 設定でラウンドの種類を絞り込むことができる。\n- サバイバルラウンドの制限時間は無視されます。\n- 探検ラウンドの再生を停止するには、一時停止メニューまたは {loaderName} GUI を使用します。
gui_explore_unity_title,""
gui_explore_unity_desc,""
gui_localization_faq_title, {loaderName} を翻訳するには？
